id;auto_id;ip_address;department_id;department_value;system_id;system_value;manager_id;manager_value;resource_ids;allocate_status;ip_describe;update_time
1;64359;1080p;16107;THX Rial Omani;25604;Ford pixel;97921;Handcrafted violet quantify;Field bi-directional Pants;DISABLE;Product Mouse;46216
2;34746;ivory;48949;Technician Soft;5476;Maryland;85930;open-source;benchmark European Monetary Unit (E.M.U.-6) Technician;DISABLE;Team-oriented;46659
3;68772;Licensed Optimization SSL;14679;Soap Pennsylvania;61056;Assurance Internal reboot;90856;Auto Loan Account virtual instruction set;Barbados;ENABLE;Mountains multi-byte target;79017
4;80603;Virtual;73347;invoice next-generation transition;39362;Ameliorated;57530;Massachusetts Object-based Electronics;Cheese;ENABLE;Gorgeous Metal Gloves supply-chains;48726
5;52362;mobile;46949;overriding metrics Auto Loan Account;11266;Grove;95978;Internal system;Avon;DISABLE;maroon payment Sleek Steel Computer;10348
6;96611;Legacy;2040;Architect Credit Card Account;28753;Pound Sterling bandwidth Tala;97327;Front-line Hat JSON;Maine concept Route;DISABLE;Berkshire withdrawal;53997
7;35832;Home Loan Account indexing;70446;Factors Dynamic Configurable;28646;New Jersey Shoes Self-enabling;33138;benchmark;Jewelery connecting Forint;DISABLE;hard drive;31757
8;42398;Metal;96052;sky blue;416;olive;48684;synthesize;Salad Zambian Kwacha;ENABLE;Colorado Ergonomic Awesome Metal Bacon;75414
9;34374;Money Market Account;92545;parsing Designer matrix;78393;Borders invoice framework;67556;projection;Bedfordshire synergistic Ohio;DISABLE;haptic;99262
10;50439;Coordinator Pennsylvania;80267;Marketing indigo Congo;55311;eco-centric Berkshire reinvent;81409;Unbranded Niue Bedfordshire;Bolivar Fuerte Rustic Steel Car 1080p;ENABLE;Vista Functionality;87570
