id;menu_id;ip_adderss_type;ip_type;netmask;network_name;network_desc;network_range;total;gateway_address;vlan_id;dns;status
1;92821;utilize;Glens;45767;Savings Account Avon;Awesome Designer;Computer mindshare Tasty;7537;payment;Wooden;Tonga Borders Interactions;DISABLE
2;96192;Cape Connecticut;digital Branding Personal Loan Account;24515;capacity bus connect;Executive European Monetary Unit (E.M.U.-6) cross-platform;Home Loan Account;35682;invoice 24/7 payment;haptic Mouse;invoice;DISABLE
3;59538;Loaf;withdrawal Tasty Soft Mouse Auto Loan Account;55021;USB User-friendly;Checking Account bleeding-edge platforms;Reactive Metal Luxembourg;50441;Books Haven;Security;bluetooth Glens;DISABLE
4;60551;Cambridgeshire cross-media Manager;holistic generate online;45351;West Virginia;Electronics multi-byte Home Loan Account;SMS Licensed;80368;Savings Account;white Applications Wooden;revolutionary Forges Facilitator;ENABLE
5;53057;Coordinator;Iowa;11216;solution invoice;compressing Orchestrator Singapore Dollar;Unbranded Cotton Gloves black programming;44687;holistic Tools;Maryland hack;granular;DISABLE
6;91918;Principal architect;Haven Ergonomic synthesize;83145;Sleek Steel Shoes;Clothing Garden;Personal Loan Account;17981;digital Cambridgeshire;maroon array;East Caribbean Dollar Gorgeous Cotton Mouse;DISABLE
7;51621;Kuwait;infrastructures;59907;Turnpike;connect circuit Intelligent;optimize Representative;43142;Ergonomic Fresh Hat;California Outdoors Delaware;application transmit;ENABLE
8;84051;Ford array;regional payment Sleek Steel Towels;93167;Berkshire Money Market Account;Berkshire;protocol Investment Account Lock;76233;overriding;non-volatile;architect Investment Account Investment Account;ENABLE
9;49995;Tokelau;wireless transmitting CSS;66274;Forward paradigms;Argentine Peso Parkways;Avon Crossing Administrator;81948;quantifying;withdrawal;alarm virtual programming;DISABLE
10;75337;Spring;Computers;26080;Assistant Markets;Crest Lithuanian Litas pixel;Phased Saint Martin;98169;Rubber Pre-emptive;SAS Generic;Sports;DISABLE
